version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 458575205409 eni-007e9247c3198bc26 85.217.149.61 10.0.2.88 57306 48067 6 1 52 1789610734 1789610735 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 198.235.24.9 10.0.2.88 51105 3917 6 1 44 1789610734 1789610735 ACCEPT OK
2 458575205409 eni-09faf44014196404b 5.188.206.34 10.0.1.215 58272 28990 6 1 40 1789610729 1789610741 ACCEPT OK
2 458575205409 eni-09faf44014196404b 147.185.133.44 10.0.1.215 56369 47413 6 1 44 1789610729 1789610741 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 147.185.133.129 10.0.2.88 51346 9664 6 1 44 1789610750 1789610750 ACCEPT OK
2 458575205409 eni-09faf44014196404b 66.132.172.230 10.0.1.215 26911 17184 17 1 92 1789610758 1789610759 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 - - - - - - - 1789610763 1789610763 - NODATA
2 458575205409 eni-007e9247c3198bc26 - - - - - - - 1789610763 1789610763 - SKIPDATA
2 458575205409 eni-007e9247c3198bc26 147.185.133.159 10.0.2.88 50764 9939 6 1 44 1789610744 1789610757 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 198.235.24.88 10.0.2.88 50166 873 6 1 44 1789610744 1789610757 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 65.49.1.165 10.0.2.88 36050 500 6 1 40 1789610762 1789610771 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 162.216.149.94 10.0.2.88 52098 6699 6 1 44 1789610762 1789610771 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 162.216.149.131 10.0.2.88 53538 9117 6 1 44 1789610762 1789610771 ACCEPT OK
2 458575205409 eni-09faf44014196404b 35.203.211.60 10.0.1.215 55715 3842 6 1 44 1789610730 1789610758 ACCEPT OK
2 458575205409 eni-09faf44014196404b 85.217.140.10 10.0.1.215 53397 9104 6 1 52 1789610730 1789610758 ACCEPT OK
2 458575205409 eni-09faf44014196404b 85.217.140.12 10.0.1.215 40029 32080 6 1 52 1789610730 1789610758 ACCEPT OK
2 458575205409 eni-09faf44014196404b 143.110.239.2 10.0.1.215 29011 8112 6 1 44 1789610730 1789610758 ACCEPT OK
2 458575205409 eni-09faf44014196404b 85.217.149.39 10.0.1.215 55007 4380 6 1 52 1789610758 1789610768 ACCEPT OK
2 458575205409 eni-09faf44014196404b 147.185.132.199 10.0.1.215 56962 8858 6 1 44 1789610758 1789610768 ACCEPT OK
2 458575205409 eni-09faf44014196404b 35.203.210.47 10.0.1.215 50737 46999 6 1 44 1789610756 1789610774 ACCEPT OK
2 458575205409 eni-09faf44014196404b 130.12.180.246 10.0.1.215 45863 11476 6 1 40 1789610756 1789610774 ACCEPT OK
2 458575205409 eni-09faf44014196404b 162.216.149.160 10.0.1.215 52299 45971 6 1 44 1789610756 1789610774 ACCEPT OK
2 458575205409 eni-09faf44014196404b 209.38.131.131 10.0.1.215 26200 2221 6 1 44 1789610756 1789610774 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 64.62.197.24 10.0.2.88 41645 9999 6 1 40 1789610753 1789610768 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 162.216.150.149 10.0.2.88 51985 19444 6 1 44 1789610753 1789610768 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 85.217.140.9 10.0.2.88 38887 1935 6 1 52 1789610781 1789610783 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 - - - - - - - 1789610781 1789610783 - SKIPDATA
2 458575205409 eni-09faf44014196404b 216.106.186.78 10.0.1.215 49131 5011 6 1 40 1789610786 1789610787 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 193.163.125.117 10.0.2.88 58805 7170 6 1 44 1789610797 1789610797 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 161.97.119.2 10.0.2.88 58595 587 6 1 40 1789610805 1789610805 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 147.185.133.95 10.0.2.88 50649 33457 6 1 44 1789610780 1789610801 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 162.216.150.99 10.0.2.88 55524 16886 6 1 44 1789610780 1789610801 ACCEPT OK
2 458575205409 eni-09faf44014196404b 66.132.186.222 10.0.1.215 61205 11102 6 1 60 1789610789 1789610790 ACCEPT OK
2 458575205409 eni-09faf44014196404b 85.217.149.74 10.0.1.215 42276 20313 6 1 52 1789610789 1789610790 ACCEPT OK
